"","sig=1","sig=1.01","sig=1.02","sig=1.03","sig=1.04","sig=1.05","sig=1.06","sig=1.07","sig=1.08","sig=1.09","sig=1.1","sig=1.11","sig=1.12","sig=1.13","sig=1.14","sig=1.15","sig=1.16","sig=1.17","sig=1.18","sig=1.19","sig=1.2","sig=1.21","sig=1.22","sig=1.23","sig=1.24","sig=1.25","sig=1.26","sig=1.27","sig=1.28","sig=1.29","sig=1.3","sig=1.31","sig=1.32","sig=1.33","sig=1.34","sig=1.35","sig=1.36","sig=1.37","sig=1.38","sig=1.39","sig=1.4"
"Dim 11",0.05,0.04,0.08,0.05,0.11,0.09,0.09,0.05,0.06,0.09,0.12,0.06,0.16,0.15,0.13,0.18,0.13,0.2,0.18,0.28,0.24,0.3,0.28,0.47,0.44,0.51,0.53,0.57,0.57,0.63,0.64,0.64,0.73,0.68,0.76,0.83,0.82,0.83,0.9,0.86,0.88
"Dim 12",0.08,0.07,0.04,0.04,0.03,0.05,0.06,0.05,0.1,0.11,0.1,0.09,0.11,0.12,0.17,0.16,0.23,0.28,0.25,0.27,0.28,0.3,0.32,0.41,0.48,0.47,0.6,0.55,0.64,0.57,0.64,0.66,0.65,0.73,0.78,0.8,0.83,0.83,0.84,0.89,0.96
"Dim 13",0.03,0.06,0.11,0.02,0.04,0.08,0.06,0.07,0.12,0.09,0.05,0.09,0.1,0.16,0.14,0.2,0.2,0.22,0.28,0.26,0.33,0.31,0.31,0.38,0.43,0.47,0.58,0.61,0.57,0.69,0.66,0.74,0.66,0.82,0.73,0.85,0.83,0.89,0.96,0.83,0.9
"Dim 14",0.07,0.07,0.03,0.01,0.04,0.1,0.05,0.06,0.14,0.08,0.17,0.07,0.13,0.1,0.2,0.25,0.27,0.31,0.23,0.26,0.32,0.29,0.39,0.4,0.44,0.67,0.56,0.56,0.49,0.7,0.59,0.61,0.78,0.74,0.71,0.86,0.86,0.9,0.88,0.94,0.93
"Dim 15",0.04,0.04,0.06,0.03,0.03,0.06,0.06,0.06,0.06,0.09,0.06,0.15,0.12,0.14,0.19,0.19,0.29,0.27,0.27,0.22,0.31,0.32,0.41,0.42,0.45,0.55,0.5,0.57,0.62,0.68,0.69,0.75,0.79,0.79,0.74,0.82,0.83,0.9,0.92,0.92,0.9
"Dim 16",0.04,0.09,0.03,0.03,0.05,0.04,0.07,0.08,0.07,0.11,0.05,0.1,0.19,0.08,0.17,0.16,0.24,0.26,0.32,0.26,0.38,0.37,0.42,0.44,0.53,0.41,0.52,0.62,0.67,0.66,0.73,0.68,0.71,0.84,0.87,0.85,0.87,0.9,0.87,0.88,0.88
"Dim 17",0.06,0.04,0.07,0.03,0.01,0.03,0.07,0.08,0.06,0.06,0.14,0.11,0.15,0.21,0.15,0.18,0.27,0.3,0.23,0.32,0.43,0.4,0.41,0.51,0.39,0.67,0.5,0.58,0.63,0.61,0.66,0.66,0.84,0.79,0.8,0.81,0.91,0.84,0.87,0.91,0.94
"Dim 18",0.05,0.04,0.04,0.07,0.08,0.05,0.04,0.08,0.11,0.05,0.09,0.14,0.09,0.16,0.21,0.2,0.24,0.28,0.39,0.26,0.33,0.39,0.4,0.51,0.44,0.52,0.57,0.49,0.55,0.66,0.69,0.71,0.72,0.79,0.84,0.84,0.79,0.88,0.94,0.85,0.91
"Dim 19",0.02,0.07,0.05,0.06,0.07,0.07,0.05,0.07,0.09,0.08,0.11,0.11,0.17,0.13,0.24,0.21,0.17,0.3,0.27,0.34,0.28,0.46,0.42,0.42,0.5,0.48,0.55,0.55,0.64,0.73,0.76,0.65,0.71,0.75,0.83,0.89,0.87,0.88,0.9,0.91,0.94
"Dim 20",0.04,0.07,0.04,0.01,0.03,0.05,0.09,0.08,0.09,0.1,0.1,0.16,0.18,0.15,0.18,0.25,0.18,0.25,0.31,0.3,0.32,0.45,0.49,0.48,0.55,0.59,0.5,0.57,0.56,0.65,0.71,0.67,0.79,0.73,0.79,0.87,0.85,0.92,0.91,0.88,0.89
